"","weight","height","male","educ","physical","stamps","white","black"
"531",177,64,0,8,1,1,0,1
"532",140,68,1,12,5,0,1,0
"533",191,NA,0,3,1,1,0,1
"534",185,74,1,14,4,0,1,0
"535",230,66,0,7,1,1,0,1
"536",184,75,1,14,2,0,1,0
"537",132,65,0,13,5,0,1,0
"538",220,67,0,12,1,0,1,0
"539",150,63,0,4,2,0,0,1
"540",185,67,1,12,5,0,1,0
"541",170,63,0,12,1,0,1,0
"542",105,57,0,11,1,0,1,0
"543",NA,64,0,13,1,0,0,1
"544",176,64,0,11,1,0,1,0
"545",265,63,0,11,3,1,0,1
"546",168,61,0,12,3,0,1,0
"547",185,67,0,12,2,0,0,1
"548",165,69,1,9,1,0,1,0
"549",190,61,0,10,1,0,1,0
"550",229,66,0,11,1,0,0,1
"551",178,67,0,9,1,0,0,1
"552",330,77,1,12,2,0,1,0
"553",NA,NA,0,2,1,0,0,1
"554",200,65,0,12,2,0,1,0
"555",240,66,0,12,2,0,1,0
"556",196,72,1,15,3,0,1,0
"557",127,63,0,10,1,0,1,0
"558",137,60,0,14,2,0,1,0
"559",158,64,0,12,1,0,1,0
"560",230,62,0,9,3,1,0,1
"561",178,65,0,12,1,0,1,0
"562",183,67,1,15,1,0,1,0
"563",134,67,1,11,5,0,1,0
"564",135,65,0,10,2,0,1,0
"565",180,68,1,0,2,1,0,1
"566",160,69,0,8,2,1,0,1
"567",197,68,1,10,1,0,1,0
"568",120,63,0,8,1,0,1,0
"569",176,65,0,12,5,1,0,1
"570",153,71,1,12,3,0,0,1
"571",190,72,1,17,4,0,1,0
"572",200,71,1,10,2,0,1,0
"573",126,65,0,14,3,0,0,0
"574",175,73,1,16,5,0,1,0
"575",160,66,0,11,3,1,0,1
"576",101,62,0,14,1,0,1,0
"577",175,67,1,13,5,0,1,0
"578",168,70,1,12,5,0,1,0
"579",160,70,1,13,4,0,1,0
"580",138,62,0,16,2,0,1,0
"581",185,69,1,16,5,0,1,0
"582",142,71,1,13,3,0,1,0
"583",121,61,0,14,3,1,0,1
"584",165,71,1,10,5,0,0,1
"585",180,65,0,7,1,0,0,1
"586",110,64,0,16,5,0,1,0
