year,sex,educ,attend,reltrad,income,race,partyid,abany,abnomore,abrape,abdefect,homosex,owngun,gunlaw
1972,1,12,3,4,NA,1,1,NA,2,1,2,NA,NA,1
1972,2,12,8,6,NA,1,2,NA,2,2,2,NA,NA,1
1972,1,18,3,4,NA,1,4,NA,1,1,1,NA,NA,1
1972,2,16,2,2,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,12,2,1,NA,1,5,NA,2,1,1,NA,NA,1
1972,2,12,4,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,11,7,4,NA,1,2,NA,2,1,2,NA,NA,1
1972,2,13,5,4,NA,1,1,NA,2,2,2,NA,NA,1
1972,1,8,6,2,NA,1,6,NA,2,NA,NA,NA,NA,1
1972,1,16,2,4,NA,1,6,NA,1,1,1,NA,NA,2
1972,2,16,6,2,NA,1,7,NA,NA,1,1,NA,NA,NA
1972,1,3,4,2,NA,1,5,NA,2,1,1,NA,NA,2
1972,2,11,7,4,NA,1,7,NA,1,1,1,NA,NA,1
1972,2,3,7,4,NA,1,7,NA,1,2,1,NA,NA,1
1972,2,11,4,2,NA,1,6,NA,2,1,1,NA,NA,1
1972,2,11,5,3,NA,2,1,NA,1,1,1,NA,NA,1
1972,1,12,3,3,NA,2,1,NA,2,2,1,NA,NA,1
1972,2,4,7,3,NA,2,0,NA,2,1,2,NA,NA,2
1972,2,9,5,3,NA,2,7,NA,2,2,2,NA,NA,2
1972,1,2,5,3,NA,2,1,NA,2,2,2,NA,NA,2
1972,2,0,5,3,NA,2,7,NA,2,NA,NA,NA,NA,NA
1972,1,2,5,3,NA,2,1,NA,2,2,2,NA,NA,2
1972,2,8,8,1,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,8,0,NA,NA,1,1,NA,1,1,1,NA,NA,2
1972,1,14,7,1,NA,1,5,NA,2,1,1,NA,NA,2
1972,2,12,7,2,NA,1,1,NA,1,1,1,NA,NA,2
1972,2,17,7,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,1,12,2,4,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,12,2,1,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,12,7,3,NA,2,0,NA,2,2,2,NA,NA,2
1972,2,6,8,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,1,5,5,3,NA,2,0,NA,1,1,1,NA,NA,1
1972,1,8,5,3,NA,2,0,NA,2,1,2,NA,NA,2
1972,2,6,8,3,NA,2,0,NA,2,2,2,NA,NA,1
1972,2,9,7,3,NA,2,0,NA,2,1,1,NA,NA,1
1972,1,9,5,3,NA,2,1,NA,2,2,2,NA,NA,1
1972,1,5,7,3,NA,2,0,NA,1,1,1,NA,NA,2
1972,1,8,8,1,NA,1,3,NA,1,1,1,NA,NA,2
1972,2,14,4,2,NA,1,5,NA,1,1,1,NA,NA,1
1972,2,12,7,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,12,6,2,NA,1,5,NA,2,1,1,NA,NA,1
1972,1,8,7,2,NA,1,5,NA,2,1,1,NA,NA,2
1972,1,10,4,2,NA,1,5,NA,2,1,1,NA,NA,2
1972,1,9,2,2,NA,1,4,NA,2,2,1,NA,NA,2
1972,1,12,7,4,NA,1,0,NA,2,1,1,NA,NA,2
1972,2,5,7,4,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,12,3,4,NA,1,3,NA,1,1,1,NA,NA,1
1972,2,12,3,4,NA,1,5,NA,2,1,1,NA,NA,1
1972,2,3,3,4,NA,1,0,NA,1,1,1,NA,NA,1
1972,2,12,7,4,NA,1,1,NA,2,2,2,NA,NA,1
1972,1,12,8,4,NA,1,3,NA,2,2,2,NA,NA,1
1972,1,11,5,4,NA,1,1,NA,2,1,1,NA,NA,2
1972,1,12,2,2,NA,1,5,NA,1,1,1,NA,NA,1
1972,1,7,7,4,NA,1,5,NA,NA,1,NA,NA,NA,2
1972,2,12,1,2,NA,1,5,NA,2,1,NA,NA,NA,2
1972,2,8,5,2,NA,1,5,NA,2,1,2,NA,NA,NA
1972,1,8,7,2,NA,1,5,NA,2,1,1,NA,NA,1
1972,1,8,7,2,NA,1,6,NA,2,1,1,NA,NA,1
1972,2,18,3,2,NA,1,1,NA,1,1,1,NA,NA,1
1972,2,12,8,4,NA,1,5,NA,2,1,1,NA,NA,1
1972,2,13,7,2,NA,1,6,NA,2,1,2,NA,NA,1
1972,2,10,3,2,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,7,2,1,NA,1,1,NA,2,1,2,NA,NA,1
1972,1,14,7,2,NA,1,1,NA,2,1,1,NA,NA,1
1972,2,6,7,1,NA,1,1,NA,2,1,1,NA,NA,1
1972,1,14,7,2,NA,1,0,NA,2,2,1,NA,NA,2
